Source,Target,Weight
(02000) cabecera autopista norte,(06100) av. rojas,355
(02000) cabecera autopista norte,(06101) el tiempo - camara de comercio de bogota,767
(02000) cabecera autopista norte,(06102) salitre el greco,414
(02000) cabecera autopista norte,(06103) can,649
(02000) cabecera autopista norte,(06104) gobernación,330
(02000) cabecera autopista norte,(06105) quinta paredes,224
(02000) cabecera autopista norte,(06106) recinto ferial,496
(02000) cabecera autopista norte,(06107) ciudad universitaria - loteria de bogota,225
(02000) cabecera autopista norte,(06108) concejo de bogotá,47
(02000) cabecera autopista norte,(06109) centro memoria,127
(02000) cabecera autopista norte,(06111) universidades – cityu,1663
(02000) cabecera autopista norte,(07000) portal sur jfk coop. financiera,3805
(02000) cabecera autopista norte,(07001) perdomo,516
(02000) cabecera autopista norte,(07002) madelena,461
(02000) cabecera autopista norte,(07003) sevillana,268
(02000) cabecera autopista norte,(07004) venecia,546
(02000) cabecera autopista norte,(07005) alqueria,491
(02000) cabecera autopista norte,(07006) general santander,879
(02000) cabecera autopista norte,(07007) nqs - calle 38a sur,346
(02000) cabecera autopista norte,(07008) nqs - calle 30 sur,313
(02000) cabecera autopista norte,(07010) bosa,934
(02000) cabecera autopista norte,(07101) castellana,473
(02000) cabecera autopista norte,(07102) calle 75 - zona m,519
(02000) cabecera autopista norte,(07103) av. chile,1223
(02000) cabecera autopista norte,(07104) 7 de agosto,1245
(02000) cabecera autopista norte,(07105) movistar arena,829
(02000) cabecera autopista norte,(07106) el campin,1168
(02000) cabecera autopista norte,(07107) u. nacional,2035
(02000) cabecera autopista norte,(07108) av. el dorado,857
(02000) cabecera autopista norte,(07109) cad,1016
(02000) cabecera autopista norte,(07110) paloquemao,1028
(02000) cabecera autopista norte,(07111) nqs - ricaurte,884
(02000) cabecera autopista norte,(07112) comuneros,1363
(02000) cabecera autopista norte,(07113) santa isabel,701
(02000) cabecera autopista norte,(07200) tygua-san josé,272
(02000) cabecera autopista norte,(07201) guatoque -veraguas,119
(02000) cabecera autopista norte,(07503) san mateo - c.c. unisur,2921
(02000) cabecera autopista norte,(07504) terreros,1430
(02000) cabecera autopista norte,(07505) leon xiii,736
(02000) cabecera autopista norte,(07506) despensa,244
(02000) cabecera autopista norte,(08000) portal tunal,2542
(02000) cabecera autopista norte,(08001) parque el tunal,105
(02000) cabecera autopista norte,(08002) biblioteca,182
(02000) cabecera autopista norte,(09000) cabecera usme,2012
(02000) cabecera autopista norte,(09001) molinos,914
(02000) cabecera autopista norte,(09002) consuelo,87
(02000) cabecera autopista norte,(09003) socorro,104
(02000) cabecera autopista norte,(09004) santa lucía,576
(02000) cabecera autopista norte,(09100) calle 40 sur,550
(02000) cabecera autopista norte,(09101) quiroga,158
(02000) cabecera autopista norte,(09103) olaya,436
(02000) cabecera autopista norte,(09104) restrepo,773
(02000) cabecera autopista norte,(09105) río fucha,499
(02000) cabecera autopista norte,(09106) nariño,267
(02000) cabecera autopista norte,(09107) hortúa,450
(02000) cabecera autopista norte,(09108) hospital,53
(02000) cabecera autopista norte,(09109) tercer milenio,307
(02000) cabecera autopista norte,(09110) avenida jimenez,3519
(02000) cabecera autopista norte,(09111) calle 19,969
(02000) cabecera autopista norte,(09113) calle 22,573
(02000) cabecera autopista norte,(09115) calle 34,2342
(02000) cabecera autopista norte,(09116) avenida 39,1229
(02000) cabecera autopista norte,(09117) calle 45,2617
(02000) cabecera autopista norte,(09119) calle 57,3129
(02000) cabecera autopista norte,(09120) calle 63,2650
(02000) cabecera autopista norte,(09121) flores – areandina,3103
(02000) cabecera autopista norte,(09122) calle 72,48
(02000) cabecera autopista norte,(09123) calle 76 - san felipe,3529
(02000) cabecera autopista norte,(10000) portal 20 de julio,1116
(02000) cabecera autopista norte,(10001) country sur,316
(02000) cabecera autopista norte,(10002) av. primero de mayo,548
(02000) cabecera autopista norte,(10003) ciudad jardín,69
(02000) cabecera autopista norte,(10004) policarpa,83
(02000) cabecera autopista norte,(10005) bicentenario,176
(02000) cabecera autopista norte,(10006) san victorino - neos centro,296
(02000) cabecera autopista norte,(10007) las nieves,140
(02000) cabecera autopista norte,(10008) san diego,82
(02000) cabecera autopista norte,(10009) museo nacional,172
(02000) cabecera autopista norte,(10010) san bernardo,249
(02000) cabecera autopista norte,(12000) puente aranda,167
(02000) cabecera autopista norte,(12001) carrera 43 - comapan,246
(02000) cabecera autopista norte,(12002) cds - carrera 32,395
(02000) cabecera autopista norte,(12003) ricaurte,167
(02000) cabecera autopista norte,(12004) carrera 22,262
(02000) cabecera autopista norte,(12007) zona industrial,657
(02000) cabecera autopista norte,(14001) la sabana,286
(02000) cabecera autopista norte,(14005) las aguas - centro colombo americano,2025
(02000) cabecera autopista norte,(50003) corral molinos,3
(02000) cabecera autopista norte,(50008) corral portal dorado,126
(02000) cabecera autopista norte,(57503) ampliacion san mateo,797
(02001) centro comercial santa fe,(02101) toberin - foundever,458
(02001) centro comercial santa fe,(02102) calle 161,119
(02001) centro comercial santa fe,(02103) mazurén,216
(02001) centro comercial santa fe,(02104) calle 146,279
(02001) centro comercial santa fe,(02105) calle 142,212
(02001) centro comercial santa fe,(02200) alcalá – colegio s. tomás dominicos,464
(02001) centro comercial santa fe,(02201) prado,196
(02001) centro comercial santa fe,(02202) calle 127,552
(02001) centro comercial santa fe,(02204) pepe sierra,462
(02001) centro comercial santa fe,(02205) calle 106,315
(02001) centro comercial santa fe,(02300) calle 100 - marketmedios,721
(02001) centro comercial santa fe,(02302) virrey,396
(02001) centro comercial santa fe,(02303) calle 85,327
(02001) centro comercial santa fe,(02304) heroes - gel hada,306
(02001) centro comercial santa fe,(02502) terminal,48
(02001) centro comercial santa fe,(03000) portal suba,153
(02001) centro comercial santa fe,(03001) la campiña,9
(02001) centro comercial santa fe,(03002) suba - tv- 91,37
(02001) centro comercial santa fe,(03003) 21 angeles,12
(02001) centro comercial santa fe,(03005) suba - av. boyaca,10
(02001) centro comercial santa fe,(03006) niza - calle 127,25
(02001) centro comercial santa fe,(03007) humedal cordoba,8
(02001) centro comercial santa fe,(03009) av. suba- calle 116,36
(02001) centro comercial santa fe,(03010) puente largo,24
(02001) centro comercial santa fe,(03011) suba - calle 100,22
(02001) centro comercial santa fe,(03012) suba - calle 95,11
(02001) centro comercial santa fe,(03013) rio negro,31
(02001) centro comercial santa fe,(04000) cabecera calle 80,444
(02001) centro comercial santa fe,(04001) quirigua,41
(02001) centro comercial santa fe,(04002) carrera 90,57
(02001) centro comercial santa fe,(04003) avenida ciudad de cali,71
(02001) centro comercial santa fe,(04004) la granja,48
(02001) centro comercial santa fe,(04100) carrera 77,64
(02001) centro comercial santa fe,(04101) minuto de dios,41
(02001) centro comercial santa fe,(04102) avenida boyaca,76
(02001) centro comercial santa fe,(04103) las ferias,28
(02001) centro comercial santa fe,(04104) avenida 68,78
(02001) centro comercial santa fe,(04105) carrera 53,50
(02001) centro comercial santa fe,(04106) carrera 47,29
(02001) centro comercial santa fe,(04107) escuela militar,21
(02001) centro comercial santa fe,(04108) el polo,42
(02001) centro comercial santa fe,(05000) portal américas,355
(02001) centro comercial santa fe,(05002) tintal,84
(02001) centro comercial santa fe,(05005) transversal 86,34
(02001) centro comercial santa fe,(05100) banderas p. central,225
(02001) centro comercial santa fe,(05101) mandalay - cr.73,10
(02001) centro comercial santa fe,(05102) av. américas - av. boyacá,39
(02001) centro comercial santa fe,(05103) marsella,56
(02001) centro comercial santa fe,(05105) pradera – plaza central,60
(02001) centro comercial santa fe,(05107) américas - cr.53,43
(02001) centro comercial santa fe,(06000) portal eldorado,364
(02001) centro comercial santa fe,(06001) modelia,154
(02001) centro comercial santa fe,(06002) normandía,67
(02001) centro comercial santa fe,(06100) av. rojas,168
(02001) centro comercial santa fe,(06101) el tiempo - camara de comercio de bogota,283
(02001) centro comercial santa fe,(06102) salitre el greco,144
(02001) centro comercial santa fe,(06103) can,302
(02001) centro comercial santa fe,(06104) gobernación,110
(02001) centro comercial santa fe,(06105) quinta paredes,96
(02001) centro comercial santa fe,(06106) recinto ferial,178
(02001) centro comercial santa fe,(06107) ciudad universitaria - loteria de bogota,35
(02001) centro comercial santa fe,(06108) concejo de bogotá,6
(02001) centro comercial santa fe,(06109) centro memoria,12
(02001) centro comercial santa fe,(06111) universidades – cityu,162
(02001) centro comercial santa fe,(07000) portal sur jfk coop. financiera,325
(02001) centro comercial santa fe,(07001) perdomo,47
(02001) centro comercial santa fe,(07002) madelena,98
(02001) centro comercial santa fe,(07003) sevillana,33
(02001) centro comercial santa fe,(07004) venecia,59
(02001) centro comercial santa fe,(07005) alqueria,95
(02001) centro comercial santa fe,(07006) general santander,108
(02001) centro comercial santa fe,(07007) nqs - calle 38a sur,40
(02001) centro comercial santa fe,(07008) nqs - calle 30 sur,67
(02001) centro comercial santa fe,(07010) bosa,68
(02001) centro comercial santa fe,(07101) castellana,39
(02001) centro comercial santa fe,(07102) calle 75 - zona m,36
(02001) centro comercial santa fe,(07103) av. chile,263
(02001) centro comercial santa fe,(07104) 7 de agosto,93
(02001) centro comercial santa fe,(07105) movistar arena,117
(02001) centro comercial santa fe,(07106) el campin,258
(02001) centro comercial santa fe,(07107) u. nacional,199
(02001) centro comercial santa fe,(07108) av. el dorado,182
(02001) centro comercial santa fe,(07109) cad,137
(02001) centro comercial santa fe,(07110) paloquemao,148
(02001) centro comercial santa fe,(07111) nqs - ricaurte,72
(02001) centro comercial santa fe,(07112) comuneros,121
(02001) centro comercial santa fe,(07113) santa isabel,153
(02001) centro comercial santa fe,(07200) tygua-san josé,32
(02001) centro comercial santa fe,(07201) guatoque -veraguas,14
(02001) centro comercial santa fe,(07503) san mateo - c.c. unisur,202
(02001) centro comercial santa fe,(07504) terreros,86
(02001) centro comercial santa fe,(07505) leon xiii,54
(02001) centro comercial santa fe,(07506) despensa,15
(02001) centro comercial santa fe,(08000) portal tunal,178
(02001) centro comercial santa fe,(08001) parque el tunal,11
(02001) centro comercial santa fe,(08002) biblioteca,24
(02001) centro comercial santa fe,(09000) cabecera usme,157
(02001) centro comercial santa fe,(09001) molinos,90
(02001) centro comercial santa fe,(09002) consuelo,9
(02001) centro comercial santa fe,(09003) socorro,16
(02001) centro comercial santa fe,(09004) santa lucía,45
(02001) centro comercial santa fe,(09100) calle 40 sur,39
(02001) centro comercial santa fe,(09101) quiroga,19
(02001) centro comercial santa fe,(09103) olaya,74
(02001) centro comercial santa fe,(09104) restrepo,61
(02001) centro comercial santa fe,(09105) río fucha,42
(02001) centro comercial santa fe,(09106) nariño,27
(02001) centro comercial santa fe,(09107) hortúa,28
(02001) centro comercial santa fe,(09108) hospital,5
(02001) centro comercial santa fe,(09109) tercer milenio,60
(02001) centro comercial santa fe,(09110) avenida jimenez,206
(02001) centro comercial santa fe,(09111) calle 19,94
(02001) centro comercial santa fe,(09113) calle 22,41
(02001) centro comercial santa fe,(09115) calle 34,433
(02001) centro comercial santa fe,(09116) avenida 39,103
(02001) centro comercial santa fe,(09117) calle 45,568
(02001) centro comercial santa fe,(09119) calle 57,297
(02001) centro comercial santa fe,(09120) calle 63,396
(02001) centro comercial santa fe,(09121) flores – areandina,265
(02001) centro comercial santa fe,(09122) calle 72,5
(02001) centro comercial santa fe,(09123) calle 76 - san felipe,296
(02001) centro comercial santa fe,(10000) portal 20 de julio,385
(02001) centro comercial santa fe,(10001) country sur,127
(02001) centro comercial santa fe,(10002) av. primero de mayo,227
(02001) centro comercial santa fe,(10003) ciudad jardín,28
(02001) centro comercial santa fe,(10004) policarpa,13
(02001) centro comercial santa fe,(10005) bicentenario,65
(02001) centro comercial santa fe,(10006) san victorino - neos centro,20
(02001) centro comercial santa fe,(10007) las nieves,20
(02001) centro comercial santa fe,(10008) san diego,8
(02001) centro comercial santa fe,(10009) museo nacional,23
(02001) centro comercial santa fe,(10010) san bernardo,67
(02001) centro comercial santa fe,(12000) puente aranda,12
(02001) centro comercial santa fe,(12001) carrera 43 - comapan,15
(02001) centro comercial santa fe,(12002) cds - carrera 32,22
(02001) centro comercial santa fe,(12003) ricaurte,9
(02001) centro comercial santa fe,(12004) carrera 22,17
(02001) centro comercial santa fe,(12007) zona industrial,31
(02001) centro comercial santa fe,(14001) la sabana,27
(02001) centro comercial santa fe,(14005) las aguas - centro colombo americano,204
(02001) centro comercial santa fe,(50003) corral molinos,1
(02001) centro comercial santa fe,(50008) corral portal dorado,21
(02001) centro comercial santa fe,(57503) ampliacion san mateo,47
(02101) toberin - foundever,(02102) calle 161,48
(02101) toberin - foundever,(02103) mazurén,247
(02101) toberin - foundever,(02104) calle 146,329
(02101) toberin - foundever,(02105) calle 142,358
(02101) toberin - foundever,(02200) alcalá – colegio s. tomás dominicos,738
(02101) toberin - foundever,(02201) prado,599
(02101) toberin - foundever,(02202) calle 127,1168
(02101) toberin - foundever,(02204) pepe sierra,797
(02101) toberin - foundever,(02205) calle 106,764
(02101) toberin - foundever,(02300) calle 100 - marketmedios,2951
(02101) toberin - foundever,(02302) virrey,880
(02101) toberin - foundever,(02303) calle 85,959
(02101) toberin - foundever,(02304) heroes - gel hada,1044
(02101) toberin - foundever,(02502) terminal,297
(02101) toberin - foundever,(03000) portal suba,279
(02101) toberin - foundever,(03001) la campiña,41
(02101) toberin - foundever,(03002) suba - tv- 91,90
(02101) toberin - foundever,(03003) 21 angeles,22
(02101) toberin - foundever,(03004) gratamira,3
(02101) toberin - foundever,(03005) suba - av. boyaca,23
(02101) toberin - foundever,(03006) niza - calle 127,60
(02101) toberin - foundever,(03007) humedal cordoba,27
(02101) toberin - foundever,(03009) av. suba- calle 116,121
(02101) toberin - foundever,(03010) puente largo,67
(02101) toberin - foundever,(03011) suba - calle 100,94
(02101) toberin - foundever,(03012) suba - calle 95,87
(02101) toberin - foundever,(03013) rio negro,69
(02101) toberin - foundever,(03014) san martin,7
(02101) toberin - foundever,(04000) cabecera calle 80,2045
(02101) toberin - foundever,(04001) quirigua,133
(02101) toberin - foundever,(04002) carrera 90,279
(02101) toberin - foundever,(04003) avenida ciudad de cali,260
(02101) toberin - foundever,(04004) la granja,198
(02101) toberin - foundever,(04100) carrera 77,265
(02101) toberin - foundever,(04101) minuto de dios,122
(02101) toberin - foundever,(04102) avenida boyaca,221
(02101) toberin - foundever,(04103) las ferias,87
(02101) toberin - foundever,(04104) avenida 68,263
(02101) toberin - foundever,(04105) carrera 53,222
(02101) toberin - foundever,(04106) carrera 47,102
(02101) toberin - foundever,(04107) escuela militar,41
(02101) toberin - foundever,(04108) el polo,153
(02101) toberin - foundever,(05000) portal américas,1299
(02101) toberin - foundever,(05002) tintal,358
(02101) toberin - foundever,(05005) transversal 86,114
(02101) toberin - foundever,(05100) banderas p. central,685
(02101) toberin - foundever,(05101) mandalay - cr.73,10
(02101) toberin - foundever,(05102) av. américas - av. boyacá,134
(02101) toberin - foundever,(05103) marsella,160
(02101) toberin - foundever,(05105) pradera – plaza central,285
(02101) toberin - foundever,(05107) américas - cr.53,153
(02101) toberin - foundever,(06000) portal eldorado,647
(02101) toberin - foundever,(06001) modelia,263
(02101) toberin - foundever,(06002) normandía,139
(02101) toberin - foundever,(06100) av. rojas,334
(02101) toberin - foundever,(06101) el tiempo - camara de comercio de bogota,591
(02101) toberin - foundever,(06102) salitre el greco,278
(02101) toberin - foundever,(06103) can,638
(02101) toberin - foundever,(06104) gobernación,254
(02101) toberin - foundever,(06105) quinta paredes,196
(02101) toberin - foundever,(06106) recinto ferial,343
(02101) toberin - foundever,(06107) ciudad universitaria - loteria de bogota,99
(02101) toberin - foundever,(06108) concejo de bogotá,22
(02101) toberin - foundever,(06109) centro memoria,65
(02101) toberin - foundever,(06111) universidades – cityu,746
(02101) toberin - foundever,(07000) portal sur jfk coop. financiera,1436
(02101) toberin - foundever,(07001) perdomo,219
(02101) toberin - foundever,(07002) madelena,245
(02101) toberin - foundever,(07003) sevillana,117
(02101) toberin - foundever,(07004) venecia,232
(02101) toberin - foundever,(07005) alqueria,236
(02101) toberin - foundever,(07006) general santander,340
(02101) toberin - foundever,(07007) nqs - calle 38a sur,185
(02101) toberin - foundever,(07008) nqs - calle 30 sur,154
(02101) toberin - foundever,(07010) bosa,485
(02101) toberin - foundever,(07101) castellana,209
(02101) toberin - foundever,(07102) calle 75 - zona m,173
(02101) toberin - foundever,(07103) av. chile,654
(02101) toberin - foundever,(07104) 7 de agosto,320
(02101) toberin - foundever,(07105) movistar arena,453
(02101) toberin - foundever,(07106) el campin,615
(02101) toberin - foundever,(07107) u. nacional,813
(02101) toberin - foundever,(07108) av. el dorado,486
(02101) toberin - foundever,(07109) cad,420
(02101) toberin - foundever,(07110) paloquemao,644
(02101) toberin - foundever,(07111) nqs - ricaurte,321
(02101) toberin - foundever,(07112) comuneros,499
(02101) toberin - foundever,(07113) santa isabel,378
(02101) toberin - foundever,(07200) tygua-san josé,180
(02101) toberin - foundever,(07201) guatoque -veraguas,82
(02101) toberin - foundever,(07503) san mateo - c.c. unisur,1107
(02101) toberin - foundever,(07504) terreros,704
(02101) toberin - foundever,(07505) leon xiii,299
(02101) toberin - foundever,(07506) despensa,124
(02101) toberin - foundever,(08000) portal tunal,849
(02101) toberin - foundever,(08001) parque el tunal,48
(02101) toberin - foundever,(08002) biblioteca,41
(02101) toberin - foundever,(09000) cabecera usme,1243
(02101) toberin - foundever,(09001) molinos,572
(02101) toberin - foundever,(09002) consuelo,31
(02101) toberin - foundever,(09003) socorro,88
(02101) toberin - foundever,(09004) santa lucía,224
(02101) toberin - foundever,(09100) calle 40 sur,194
(02101) toberin - foundever,(09101) quiroga,62
(02101) toberin - foundever,(09103) olaya,258
(02101) toberin - foundever,(09104) restrepo,244
(02101) toberin - foundever,(09105) río fucha,224
(02101) toberin - foundever,(09106) nariño,217
(02101) toberin - foundever,(09107) hortúa,157
(02101) toberin - foundever,(09108) hospital,18
(02101) toberin - foundever,(09109) tercer milenio,77
(02101) toberin - foundever,(09110) avenida jimenez,1017
(02101) toberin - foundever,(09111) calle 19,362
(02101) toberin - foundever,(09113) calle 22,145
(02101) toberin - foundever,(09115) calle 34,1331
(02101) toberin - foundever,(09116) avenida 39,592
(02101) toberin - foundever,(09117) calle 45,1232
(02101) toberin - foundever,(09119) calle 57,1203
(02101) toberin - foundever,(09120) calle 63,1013
(02101) toberin - foundever,(09121) flores – areandina,913
(02101) toberin - foundever,(09122) calle 72,29
(02101) toberin - foundever,(09123) calle 76 - san felipe,1334
(02101) toberin - foundever,(10000) portal 20 de julio,769
(02101) toberin - foundever,(10001) country sur,235
(02101) toberin - foundever,(10002) av. primero de mayo,398
(02101) toberin - foundever,(10003) ciudad jardín,33
(02101) toberin - foundever,(10004) policarpa,24
(02101) toberin - foundever,(10005) bicentenario,118
(02101) toberin - foundever,(10006) san victorino - neos centro,109
(02101) toberin - foundever,(10007) las nieves,55
(02101) toberin - foundever,(10008) san diego,33
(02101) toberin - foundever,(10009) museo nacional,69
(02101) toberin - foundever,(10010) san bernardo,112
(02101) toberin - foundever,(12000) puente aranda,49
(02101) toberin - foundever,(12001) carrera 43 - comapan,60
(02101) toberin - foundever,(12002) cds - carrera 32,81
(02101) toberin - foundever,(12003) ricaurte,52
(02101) toberin - foundever,(12004) carrera 22,61
(02101) toberin - foundever,(12007) zona industrial,151
(02101) toberin - foundever,(14001) la sabana,67
(02101) toberin - foundever,(14005) las aguas - centro colombo americano,890
(02101) toberin - foundever,(50003) corral molinos,2
(02101) toberin - foundever,(50008) corral portal dorado,79
(02101) toberin - foundever,(57503) ampliacion san mateo,339
(02102) calle 161,(02103) mazurén,62
(02102) calle 161,(02104) calle 146,68
(02102) calle 161,(02105) calle 142,55
(02102) calle 161,(02200) alcalá – colegio s. tomás dominicos,138
(02102) calle 161,(02201) prado,121
(02102) calle 161,(02202) calle 127,175
(02102) calle 161,(02204) pepe sierra,151
(02102) calle 161,(02205) calle 106,189
(02102) calle 161,(02300) calle 100 - marketmedios,335
(02102) calle 161,(02302) virrey,101
(02102) calle 161,(02303) calle 85,176
(02102) calle 161,(02304) heroes - gel hada,137
(02102) calle 161,(02502) terminal,89
(02102) calle 161,(03000) portal suba,213
(02102) calle 161,(03001) la campiña,29
(02102) calle 161,(03002) suba - tv- 91,49
(02102) calle 161,(03003) 21 angeles,9
(02102) calle 161,(03004) gratamira,2
(02102) calle 161,(03005) suba - av. boyaca,10
(02102) calle 161,(03006) niza - calle 127,14
(02102) calle 161,(03007) humedal cordoba,1
(02102) calle 161,(03009) av. suba- calle 116,22
(02102) calle 161,(03010) puente largo,14
(02102) calle 161,(03011) suba - calle 100,7
(02102) calle 161,(03012) suba - calle 95,15
(02102) calle 161,(03013) rio negro,20
(02102) calle 161,(03014) san martin,2
(02102) calle 161,(04000) cabecera calle 80,469
(02102) calle 161,(04001) quirigua,52
(02102) calle 161,(04002) carrera 90,59
(02102) calle 161,(04003) avenida ciudad de cali,76
(02102) calle 161,(04004) la granja,34
(02102) calle 161,(04100) carrera 77,73
(02102) calle 161,(04101) minuto de dios,24
(02102) calle 161,(04102) avenida boyaca,59
(02102) calle 161,(04103) las ferias,11
(02102) calle 161,(04104) avenida 68,41
(02102) calle 161,(04105) carrera 53,39
(02102) calle 161,(04106) carrera 47,22
(02102) calle 161,(04107) escuela militar,3
(02102) calle 161,(04108) el polo,29
(02102) calle 161,(05000) portal américas,772
(02102) calle 161,(05002) tintal,207
(02102) calle 161,(05005) transversal 86,60
(02102) calle 161,(05100) banderas p. central,444
(02102) calle 161,(05101) mandalay - cr.73,8
(02102) calle 161,(05102) av. américas - av. boyacá,47
(02102) calle 161,(05103) marsella,101
(02102) calle 161,(05105) pradera – plaza central,79
(02102) calle 161,(05107) américas - cr.53,54
(02102) calle 161,(06000) portal eldorado,64
(02102) calle 161,(06001) modelia,34
(02102) calle 161,(06002) normandía,28
(02102) calle 161,(06100) av. rojas,44
(02102) calle 161,(06101) el tiempo - camara de comercio de bogota,80
(02102) calle 161,(06102) salitre el greco,30
(02102) calle 161,(06103) can,52
(02102) calle 161,(06104) gobernación,28
(02102) calle 161,(06105) quinta paredes,14
(02102) calle 161,(06106) recinto ferial,46
(02102) calle 161,(06107) ciudad universitaria - loteria de bogota,19
(02102) calle 161,(06108) concejo de bogotá,5
(02102) calle 161,(06109) centro memoria,12
(02102) calle 161,(06111) universidades – cityu,137
(02102) calle 161,(07000) portal sur jfk coop. financiera,306
(02102) calle 161,(07001) perdomo,39
(02102) calle 161,(07002) madelena,34
(02102) calle 161,(07003) sevillana,19
(02102) calle 161,(07004) venecia,43
(02102) calle 161,(07005) alqueria,39
(02102) calle 161,(07006) general santander,58
(02102) calle 161,(07007) nqs - calle 38a sur,21
(02102) calle 161,(07008) nqs - calle 30 sur,36
(02102) calle 161,(07010) bosa,58
(02102) calle 161,(07101) castellana,29
(02102) calle 161,(07102) calle 75 - zona m,21
(02102) calle 161,(07103) av. chile,75
(02102) calle 161,(07104) 7 de agosto,27
(02102) calle 161,(07105) movistar arena,66
(02102) calle 161,(07106) el campin,71
(02102) calle 161,(07107) u. nacional,96
(02102) calle 161,(07108) av. el dorado,46
(02102) calle 161,(07109) cad,62
(02102) calle 161,(07110) paloquemao,56
(02102) calle 161,(07111) nqs - ricaurte,42
(02102) calle 161,(07112) comuneros,75
(02102) calle 161,(07113) santa isabel,55
(02102) calle 161,(07200) tygua-san josé,25
(02102) calle 161,(07201) guatoque -veraguas,6
(02102) calle 161,(07503) san mateo - c.c. unisur,194
(02102) calle 161,(07504) terreros,93
(02102) calle 161,(07505) leon xiii,54
(02102) calle 161,(07506) despensa,8
(02102) calle 161,(08000) portal tunal,259
(02102) calle 161,(08001) parque el tunal,19
(02102) calle 161,(08002) biblioteca,23
(02102) calle 161,(09000) cabecera usme,110
(02102) calle 161,(09001) molinos,58
(02102) calle 161,(09002) consuelo,11
(02102) calle 161,(09003) socorro,10
(02102) calle 161,(09004) santa lucía,53
(02102) calle 161,(09100) calle 40 sur,54
(02102) calle 161,(09101) quiroga,41
(02102) calle 161,(09103) olaya,29
(02102) calle 161,(09104) restrepo,90
(02102) calle 161,(09105) río fucha,33
(02102) calle 161,(09106) nariño,29
(02102) calle 161,(09107) hortúa,66
(02102) calle 161,(09108) hospital,2
(02102) calle 161,(09109) tercer milenio,35
(02102) calle 161,(09110) avenida jimenez,147
(02102) calle 161,(09111) calle 19,81
(02102) calle 161,(09113) calle 22,57
(02102) calle 161,(09115) calle 34,184
(02102) calle 161,(09116) avenida 39,131
(02102) calle 161,(09117) calle 45,179
(02102) calle 161,(09119) calle 57,202
(02102) calle 161,(09120) calle 63,226
(02102) calle 161,(09121) flores – areandina,290
(02102) calle 161,(09122) calle 72,6
(02102) calle 161,(09123) calle 76 - san felipe,169
(02102) calle 161,(10000) portal 20 de julio,201
(02102) calle 161,(10001) country sur,48
